STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
,Andhra Pradesh,2025-02-01T00:00:00Z,277741,150970,117785,268755,0.967646116,,
8,Rajasthan,2021-12-01T00:00:00Z,633137,359003,253618,612621,0.967596271,,
,Telangana,2024-08-01T00:00:00Z,375659,285499,77982,363481,0.967582302,,
4,Chandigarh,2022-04-01T00:00:00Z,16166,12052,3589,15641,0.967524434,,
,Kerala,2025-01-01T00:00:00Z,300800,186627,104396,291023,0.967496676,,
,Maharashtra,2025-02-01T00:00:00Z,952259,710998,210241,921239,0.967424829,,
22,Chhattisgarh,2022-12-01T00:00:00Z,135546,66292,64836,131128,0.967405899,,
,Manipur,2023-07-01T00:00:00Z,8621,1989,6350,8339,0.967289178,,
,Himachal Pradesh,2024-11-01T00:00:00Z,48248,32344,14320,46664,0.967169624,,
8,Rajasthan,2021-10-01T00:00:00Z,263808,152312,102798,255110,0.967029051,,
2,Himachal Pradesh,2022-03-01T00:00:00Z,97423,45441,48769,94210,0.967020108,,
,Odisha,2025-01-01T00:00:00Z,184055,82344,95620,177964,0.966906631,,
,Ladakh,2024-11-01T00:00:00Z,2567,1031,1451,2482,0.966887417,,
8,Rajasthan,2021-04-01T00:00:00Z,263923,29616,225555,255171,0.966838813,,
,Puducherry,2025-01-01T00:00:00Z,19570,10938,7983,18921,0.966836995,,
32,Kerala,2022-12-01T00:00:00Z,343988,206863,125697,332560,0.966777911,,
,Assam,2024-05-01T00:00:00Z,129298,51396,73589,124985,0.966642949,,
35,Andaman and Nicobar Islands,2022-08-01T00:00:00Z,3433,1400,1918,3318,0.966501602,,
8,Rajasthan,2022-08-01T00:00:00Z,293004,184266,98916,283182,0.966478273,,
24,Gujarat,2021-05-01T00:00:00Z,558618,127656,412184,539840,0.9663849,,
31,Lakshadweep,2022-07-01T00:00:00Z,178,100,72,172,0.966292135,,
,Uttarakhand,2024-08-01T00:00:00Z,93800,72783,17851,90634,0.966247335,,
26,Dadra and Nagar Haveli,2022-12-01T00:00:00Z,14870,11392,2976,14368,0.966240753,,
37,Andhra Pradesh,2022-11-01T00:00:00Z,254538,149327,96606,245933,0.966193653,,
,Ladakh,2025-01-01T00:00:00Z,2437,982,1372,2354,0.965941732,,
2,Himachal Pradesh,2021-09-01T00:00:00Z,93894,45966,44727,90693,0.965908365,,
26,Dadra and Nagar Haveli,2021-06-01T00:00:00Z,13837,7759,5605,13364,0.96581629,,
24,Gujarat,2018-03-01T00:00:00Z,733311,589784,118345,708129,0.965659863,,
,Himachal Pradesh,2024-08-01T00:00:00Z,48300,38705,7934,46639,0.965610766,,
33,Tamil Nadu,2022-09-01T00:00:00Z,1012178,557050,420318,977368,0.965608816,,
19,West Bengal,2022-09-01T00:00:00Z,643156,301447,319585,621032,0.965600881,,
22,Chhattisgarh,2022-09-01T00:00:00Z,133809,55886,73313,129199,0.965547908,,
33,Tamil Nadu,2022-11-01T00:00:00Z,910192,554975,323824,878799,0.965509475,,
25,Daman and Diu,2017-07-01T00:00:00Z,4349,3701,498,4199,0.965509312,,
,Odisha,2024-08-01T00:00:00Z,184404,140533,37497,178030,0.965434589,,
,Ladakh,2024-08-01T00:00:00Z,2515,1710,718,2428,0.965407555,,
,Sikkim,2024-10-01T00:00:00Z,6546,2607,3712,6319,0.965322334,,
,Uttarakhand,2024-05-01T00:00:00Z,94129,52510,38349,90859,0.96526044,,
8,Rajasthan,2022-04-01T00:00:00Z,282871,175978,97060,273038,0.965238572,,
31,Lakshadweep,2022-02-01T00:00:00Z,172,88,78,166,0.965116279,,
8,Rajasthan,2022-03-01T00:00:00Z,651560,364612,264189,628801,0.965069986,,
2,Himachal Pradesh,2022-06-01T00:00:00Z,98966,48449,95308,95500,0.964977871,,
,Nagaland,2024-12-01T00:00:00Z,8297,2738,5268,8006,0.964927082,,
,Punjab,2025-02-01T00:00:00Z,184469,144433,33554,177987,0.964861305,,
33,Tamil Nadu,2023-01-01T00:00:00Z,923071,582726,307817,890543,0.964761107,,
,Haryana,2025-02-01T00:00:00Z,324414,246520,66458,312978,0.964748747,,
34,Puducherry,2022-12-01T00:00:00Z,20775,11596,8444,20040,0.964620939,,
33,Tamil Nadu,2022-10-01T00:00:00Z,904846,551056,321774,872830,0.964617183,,
,Telangana,2025-01-01T00:00:00Z,379419,207492,158474,365966,0.964543157,,
,Lakshadweep,2024-12-01T00:00:00Z,282,156,116,272,0.964539007,,
1,Jammu and Kashmir,2021-07-01T00:00:00Z,56418,18771,35641,54412,0.964443972,,
,Arunachal Pradesh,2024-12-01T00:00:00Z,15149,4416,10194,14610,0.964420094,,
24,Gujarat,2021-04-01T00:00:00Z,554520,136582,398174,534756,0.964358364,,
1,Jammu and Kashmir,2021-05-01T00:00:00Z,53973,6160,45888,52048,0.964334019,,
8,Rajasthan,2022-01-01T00:00:00Z,270996,177207,84118,261325,0.964313126,,
37,Andhra Pradesh,2022-10-01T00:00:00Z,252706,136990,106642,243632,0.964092661,,
4,Chandigarh,2023-01-01T00:00:00Z,16929,13273,3048,16321,0.964085297,,
19,West Bengal,2022-12-01T00:00:00Z,653033,361017,268558,629575,0.964078385,,
,Assam,2024-08-01T00:00:00Z,129739,92861,32217,125078,0.964074026,,
37,Andhra Pradesh,2022-12-01T00:00:00Z,310997,177127,122665,299792,0.963970714,,
2,Himachal Pradesh,2022-11-01T00:00:00Z,45303,26495,17173,43668,0.963909675,,
27,Maharashtra,2022-10-01T00:00:00Z,833041,547385,255233,802618,0.963479589,,
26,Dadra and Nagar Haveli,2022-09-01T00:00:00Z,14756,10649,3568,14217,0.963472486,,
15,Mizoram,2023-02-01T00:00:00Z,5683,1364,4111,5475,0.963399613,,
27,Maharashtra,2022-11-01T00:00:00Z,845911,562235,252701,814936,0.963382673,,
29,Karnataka,2022-12-01T00:00:00Z,865622,519244,314624,833868,0.963316552,,
34,Puducherry,2023-01-01T00:00:00Z,18672,10557,7429,17986,0.963260497,,
2,Himachal Pradesh,2022-10-01T00:00:00Z,44744,26543,16554,43097,0.963190595,,
6,Haryana,2022-12-01T00:00:00Z,491220,344583,128526,473109,0.963130573,,
38,Ladakh,2023-01-01T00:00:00Z,2401,960,1352,2312,0.962932112,,
8,Rajasthan,2022-06-01T00:00:00Z,666005,389043,640256,641184,0.962731511,,
20,Jharkhand,2022-12-01T00:00:00Z,175834,84400,84868,169268,0.962657961,,
34,Puducherry,2022-11-01T00:00:00Z,18498,9996,7811,17807,0.96264461,,
2,Himachal Pradesh,2022-08-01T00:00:00Z,45023,24266,19069,43335,0.962508051,,
20,Jharkhand,2022-09-01T00:00:00Z,172673,70178,96007,166185,0.962426089,,
21,Odisha,2022-12-01T00:00:00Z,288456,116807,160789,277596,0.962351277,,
,Sikkim,2024-08-01T00:00:00Z,6643,4793,1599,6392,0.962215866,,
,Assam,2024-12-01T00:00:00Z,189830,73253,109388,182641,0.962129274,,
21,Odisha,2022-09-01T00:00:00Z,281667,93790,177209,270999,0.962125489,,
,Sikkim,2024-12-01T00:00:00Z,9949,4511,5060,9571,0.962006232,,
,Delhi,2025-02-01T00:00:00Z,453397,341887,94222,436109,0.961870061,,
,Mizoram,2024-12-01T00:00:00Z,7657,1630,5735,7365,0.96186496,,
20,Jharkhand,2022-11-01T00:00:00Z,126934,62393,59698,122091,0.961846314,,
24,Gujarat,2017-09-01T00:00:00Z,682019,561269,94706,655975,0.961813381,,
9,Uttar Pradesh,2022-11-01T00:00:00Z,914748,481977,397825,879802,0.961797129,,
7,Delhi,2022-12-01T00:00:00Z,772632,562644,180450,743094,0.961769639,,
2,Himachal Pradesh,2022-05-01T00:00:00Z,45199,25766,17701,43467,0.961680568,,
,Bihar,2024-02-01T00:00:00Z,298081,96192,190466,286658,0.961678202,,
6,Haryana,2022-09-01T00:00:00Z,484645,317030,148977,466007,0.961542985,,
35,Andaman and Nicobar Islands,2023-01-01T00:00:00Z,3534,1736,1662,3398,0.961516695,,
,Assam,2024-04-01T00:00:00Z,129137,48787,75368,124155,0.961420817,,
19,West Bengal,2022-11-01T00:00:00Z,382864,212633,155435,368068,0.961354424,,
2,Himachal Pradesh,2022-02-01T00:00:00Z,44164,26733,15721,42454,0.961280681,,
7,Delhi,2022-09-01T00:00:00Z,762171,528734,203778,732512,0.96108616,,
23,Madhya Pradesh,2022-02-01T00:00:00Z,189893,103550,78947,182497,0.96105175,,
,Uttar Pradesh,2025-02-01T00:00:00Z,1075670,559988,473773,1033761,0.961039166,,
2,Himachal Pradesh,2021-03-01T00:00:00Z,90790,41240,45993,87233,0.960821676,,
4,Chandigarh,2020-12-01T00:00:00Z,26992,22633,3298,25931,0.960692057,,
,Jammu and Kashmir,2025-02-01T00:00:00Z,75582,32972,39636,72608,0.960652007,,
,Manipur,2023-04-01T00:00:00Z,8800,1119,7333,8452,0.960454545,,
2,Himachal Pradesh,2021-06-01T00:00:00Z,92010,34295,54075,88370,0.960439083,,
32,Kerala,2017-07-01T00:00:00Z,215930,179651,27735,207386,0.960431621,,
23,Madhya Pradesh,2022-04-01T00:00:00Z,191998,92834,91509,184343,0.960129793,,
35,Andaman and Nicobar Islands,2022-11-01T00:00:00Z,3511,1598,1773,3371,0.96012532,,
8,Rajasthan,2022-07-01T00:00:00Z,287981,180272,96214,276486,0.960084172,,
2,Himachal Pradesh,2021-11-01T00:00:00Z,43932,35110,7065,42175,0.960006373,,
9,Uttar Pradesh,2022-10-01T00:00:00Z,899515,463399,400050,863449,0.95990506,,
27,Maharashtra,2021-03-01T00:00:00Z,1363993,653465,655790,1309255,0.959869296,,
,Tripura,2024-04-01T00:00:00Z,20928,8477,11611,20088,0.959862385,,
9,Uttar Pradesh,2022-09-01T00:00:00Z,1397129,622995,717985,1340980,0.959811156,,
31,Lakshadweep,2022-01-01T00:00:00Z,174,89,78,167,0.959770115,,
2,Himachal Pradesh,2022-04-01T00:00:00Z,44324,24629,17911,42540,0.959750925,,
,Bihar,2023-08-01T00:00:00Z,287758,88230,187941,276171,0.959733526,,
37,Andhra Pradesh,2022-09-01T00:00:00Z,306096,141966,151793,293759,0.959695651,,
,Bihar,2024-09-01T00:00:00Z,514622,200085,293780,493865,0.959665541,,
26,Dadra and Nagar Haveli,2022-10-01T00:00:00Z,11790,8938,2376,11314,0.959626802,,
27,Maharashtra,2021-06-01T00:00:00Z,1378095,573312,749077,1322389,0.959577533,,
3,Punjab,2021-06-01T00:00:00Z,320319,198571,108781,307352,0.95951848,,
26,Dadra and Nagar Haveli,2021-12-01T00:00:00Z,14313,9812,3921,13733,0.959477398,,
20,Jharkhand,2022-10-01T00:00:00Z,125793,59603,61082,120685,0.959393607,,
9,Uttar Pradesh,2022-12-01T00:00:00Z,1436617,722739,655309,1378048,0.959231305,,
35,Andaman and Nicobar Islands,2022-07-01T00:00:00Z,3398,1355,1904,3259,0.959093584,,
,Madhya Pradesh,2025-02-01T00:00:00Z,234918,136465,88836,225301,0.959062311,,
23,Madhya Pradesh,2022-08-01T00:00:00Z,198209,93180,96913,190093,0.959053323,,
27,Maharashtra,2021-09-01T00:00:00Z,1410553,772949,579830,1352779,0.959041596,,
,Bihar,2024-10-01T00:00:00Z,295766,125505,158146,283651,0.959038564,,
7,Delhi,2022-03-01T00:00:00Z,736680,510199,196243,706442,0.958953684,,
3,Punjab,2022-12-01T00:00:00Z,350104,252859,82862,335721,0.958917922,,
29,Karnataka,2022-11-01T00:00:00Z,678429,402518,248010,650528,0.958874105,,
31,Lakshadweep,2021-11-01T00:00:00Z,170,115,48,163,0.958823529,,
6,Haryana,2017-07-01T00:00:00Z,260418,210196,39492,249688,0.958797011,,
21,Odisha,2022-11-01T00:00:00Z,168552,73187,88378,161565,0.958546917,,
,Mizoram,2025-01-01T00:00:00Z,6786,1488,5016,6504,0.958443855,,
23,Madhya Pradesh,2022-05-01T00:00:00Z,196288,100533,87594,188127,0.958423337,,
26,Dadra and Nagar Haveli,2022-11-01T00:00:00Z,11873,9022,2356,11378,0.958308768,,
26,Dadra and Nagar Haveli,2021-03-01T00:00:00Z,13967,8838,4545,13383,0.958187155,,
26,Dadra and Nagar Haveli,2022-03-01T00:00:00Z,14581,10153,3817,13970,0.958096153,,
,Manipur,2024-09-01T00:00:00Z,11673,3166,8016,11182,0.95793712,,
32,Kerala,2022-11-01T00:00:00Z,282756,171947,98901,270848,0.957885951,,
37,Andhra Pradesh,2023-01-01T00:00:00Z,259359,149842,98585,248427,0.95784993,,
32,Kerala,2023-01-01T00:00:00Z,285285,179046,94213,273259,0.957845663,,
34,Puducherry,2022-09-01T00:00:00Z,20712,10277,9559,19836,0.957705678,,
19,West Bengal,2022-10-01T00:00:00Z,378725,209739,152958,362697,0.957679055,,
7,Delhi,2021-12-01T00:00:00Z,730568,500837,198701,699538,0.957526199,,
23,Madhya Pradesh,2022-07-01T00:00:00Z,194320,92149,93915,186064,0.95751338,,
35,Andaman and Nicobar Islands,2022-06-01T00:00:00Z,4189,1649,4005,4011,0.957507758,,
7,Delhi,2022-11-01T00:00:00Z,434676,306111,110086,416197,0.957487876,,
6,Haryana,2022-05-01T00:00:00Z,273855,191649,70551,262200,0.957440982,,
26,Dadra and Nagar Haveli,2022-02-01T00:00:00Z,11511,8604,2417,11021,0.957432022,,
,West Bengal,2025-02-01T00:00:00Z,438333,261340,158301,419641,0.957356622,,
26,Dadra and Nagar Haveli,2022-04-01T00:00:00Z,11569,8325,2750,11075,0.95729968,,
24,Gujarat,2017-07-01T00:00:00Z,564539,471922,68506,540428,0.957290816,,
,Tripura,2025-02-01T00:00:00Z,21405,9210,11279,20489,0.95720626,,
6,Haryana,2022-06-01T00:00:00Z,476752,317689,456080,456338,0.957181092,,
1,Jammu and Kashmir,2021-06-01T00:00:00Z,85686,23258,58753,82011,0.957110847,,
7,Delhi,2022-05-01T00:00:00Z,416018,294541,103502,398043,0.956792735,,
3,Punjab,2022-09-01T00:00:00Z,346997,237645,94357,332002,0.95678637,,
3,Punjab,2017-12-01T00:00:00Z,254559,215323,28235,243558,0.956784085,,
26,Dadra and Nagar Haveli,2023-01-01T00:00:00Z,11999,9397,2083,11480,0.956746396,,
26,Dadra and Nagar Haveli,2021-09-01T00:00:00Z,14078,9400,4069,13469,0.956741014,,
32,Kerala,2022-09-01T00:00:00Z,343140,185696,142592,328288,0.956717375,,
21,Odisha,2022-10-01T00:00:00Z,165324,68117,90047,158164,0.956691104,,
,Manipur,2023-08-01T00:00:00Z,8774,2156,6238,8394,0.956690221,,
26,Dadra and Nagar Haveli,2017-07-01T00:00:00Z,5291,4544,517,5061,0.956529957,,
7,Delhi,2022-08-01T00:00:00Z,423539,294840,110263,405103,0.956471541,,
7,Delhi,2017-09-01T00:00:00Z,521051,425161,73159,498320,0.956374712,,
5,Uttarakhand,2022-12-01T00:00:00Z,158597,81993,69674,151667,0.956304344,,
,Karnataka,2025-02-01T00:00:00Z,740889,464200,244258,708458,0.956226911,,
9,Uttar Pradesh,2022-04-01T00:00:00Z,840499,406363,397292,803655,0.956164136,,
33,Tamil Nadu,2022-08-01T00:00:00Z,894020,493938,360737,854675,0.955990917,,
27,Maharashtra,2022-02-01T00:00:00Z,793830,506346,252537,758883,0.95597672,,
7,Delhi,2022-06-01T00:00:00Z,750813,525468,716590,717723,0.955927774,,
27,Maharashtra,2022-05-01T00:00:00Z,814447,513410,265111,778521,0.955889088,,
27,Maharashtra,2021-12-01T00:00:00Z,1443943,826867,553243,1380110,0.955792576,,
,Bihar,2024-05-01T00:00:00Z,301141,132589,155210,287799,0.955695173,,
26,Dadra and Nagar Haveli,2022-01-01T00:00:00Z,11396,8263,2628,10891,0.955686206,,
33,Tamil Nadu,2022-05-01T00:00:00Z,878008,513124,325933,839057,0.955637078,,
,Assam,2025-01-01T00:00:00Z,128733,54661,68355,123016,0.955590253,,
2,Himachal Pradesh,2022-07-01T00:00:00Z,44504,25061,17466,42527,0.955577027,,
1,Jammu and Kashmir,2021-08-01T00:00:00Z,59030,19710,36697,56407,0.955564967,,
32,Kerala,2017-12-01T00:00:00Z,234754,184822,39477,224299,0.955464018,,
7,Delhi,2022-10-01T00:00:00Z,429452,304225,106100,410325,0.955461844,,
27,Maharashtra,2022-03-01T00:00:00Z,1468416,849171,553832,1403003,0.955453359,,
27,Maharashtra,2022-06-01T00:00:00Z,1485608,895122,1417521,1419389,0.95542633,,
,Bihar,2024-12-01T00:00:00Z,519490,228790,267518,496308,0.955375464,,
26,Dadra and Nagar Haveli,2022-06-01T00:00:00Z,14678,10402,14014,14020,0.955171004,,
26,Dadra and Nagar Haveli,2021-05-01T00:00:00Z,10929,3140,7298,10438,0.955073657,,
34,Puducherry,2022-10-01T00:00:00Z,18585,10062,7687,17749,0.955017487,,
2,Himachal Pradesh,2021-10-01T00:00:00Z,43295,22633,18705,41338,0.954798476,,
3,Punjab,2021-03-01T00:00:00Z,318519,209730,94387,304117,0.954784487,,
,Meghalaya,2025-01-01T00:00:00Z,14478,4896,8927,13823,0.954758945,,
32,Kerala,2017-11-01T00:00:00Z,129531,108962,14708,123670,0.954752144,,
31,Lakshadweep,2022-06-01T00:00:00Z,221,116,211,211,0.954751131,,
,Arunachal Pradesh,2025-01-01T00:00:00Z,11422,3282,7623,10905,0.954736473,,
4,Chandigarh,2017-09-01T00:00:00Z,23418,18942,3416,22358,0.954735673,,
,Uttarakhand,2025-02-01T00:00:00Z,96514,56465,35677,92142,0.954700872,,
22,Chhattisgarh,2022-10-01T00:00:00Z,75434,38767,33246,72013,0.954649097,,
29,Karnataka,2022-09-01T00:00:00Z,858143,436371,382804,819175,0.954590319,,
31,Lakshadweep,2022-05-01T00:00:00Z,176,91,77,168,0.954545455,,
,Bihar,2025-01-01T00:00:00Z,299668,141288,144755,286043,0.954533017,,
,Puducherry,2025-02-01T00:00:00Z,19671,11208,7568,18776,0.954501551,,
7,Delhi,2022-02-01T00:00:00Z,402569,290209,93969,384178,0.954315906,,
7,Delhi,2021-09-01T00:00:00Z,722282,493260,196023,689283,0.954312858,,
33,Tamil Nadu,2022-07-01T00:00:00Z,889467,520984,327815,848799,0.954278236,,
3,Punjab,2021-09-01T00:00:00Z,327297,226424,85896,312320,0.954240338,,
6,Haryana,2022-11-01T00:00:00Z,285773,200637,72054,272691,0.954222407,,
4,Chandigarh,2017-12-01T00:00:00Z,24261,19525,3625,23150,0.954206339,,
27,Maharashtra,2022-07-01T00:00:00Z,815623,510355,267838,778193,0.9541087,,
6,Haryana,2022-03-01T00:00:00Z,469904,301898,146430,448328,0.954084238,,
27,Maharashtra,2022-08-01T00:00:00Z,826349,500152,288243,788395,0.954070254,,
24,Gujarat,2020-12-01T00:00:00Z,933808,779825,111091,890916,0.954067646,,
,Nagaland,2025-01-01T00:00:00Z,6958,2318,4320,6638,0.954009773,,
,Bihar,2023-11-01T00:00:00Z,295027,93946,187509,281455,0.953997431,,
29,Karnataka,2023-01-01T00:00:00Z,690116,423526,234787,658313,0.953916443,,
27,Maharashtra,2021-08-01T00:00:00Z,766789,379260,352163,731423,0.953877794,,
26,Dadra and Nagar Haveli,2022-05-01T00:00:00Z,11640,8513,2589,11102,0.953780069,,
33,Tamil Nadu,2022-04-01T00:00:00Z,872690,506224,326111,832335,0.953757921,,
32,Kerala,2017-09-01T00:00:00Z,233233,187432,34991,222423,0.953651499,,
4,Chandigarh,2019-12-01T00:00:00Z,27106,20035,5809,25844,0.953442042,,
27,Maharashtra,2022-04-01T00:00:00Z,804151,486286,280386,766672,0.953393082,,
29,Karnataka,2022-10-01T00:00:00Z,675943,392977,251449,644426,0.953373287,,
6,Haryana,2021-03-01T00:00:00Z,438177,261060,156607,417667,0.953192431,,
5,Uttarakhand,2022-09-01T00:00:00Z,156524,71800,77370,149170,0.95301679,,
18,Assam,2022-12-01T00:00:00Z,185152,71196,105250,176446,0.952979174,,
32,Kerala,2017-10-01T00:00:00Z,127401,108168,13226,121394,0.952849664,,
26,Dadra and Nagar Haveli,2022-07-01T00:00:00Z,11636,8379,2708,11087,0.952818838,,
26,Dadra and Nagar Haveli,2022-08-01T00:00:00Z,11721,8520,2647,11167,0.952734408,,
38,Ladakh,2022-03-01T00:00:00Z,5417,1956,3204,5160,0.952556766,,
9,Uttar Pradesh,2021-06-01T00:00:00Z,1193073,401099,735343,1136442,0.9525335,,
24,Gujarat,2021-02-01T00:00:00Z,469534,313855,133374,447229,0.952495453,,
,Jharkhand,2025-02-01T00:00:00Z,143795,70237,66710,136947,0.952376647,,
35,Andaman and Nicobar Islands,2022-10-01T00:00:00Z,3505,1500,1838,3338,0.95235378,,
25,Daman and Diu,2017-09-01T00:00:00Z,5056,4154,661,4815,0.952333861,,
27,Maharashtra,2017-12-01T00:00:00Z,1094504,831309,211005,1042314,0.9523163,,
6,Haryana,2022-08-01T00:00:00Z,279410,189863,76195,266058,0.952213593,,
23,Madhya Pradesh,2021-06-01T00:00:00Z,382231,105870,258089,363959,0.952196447,,
32,Kerala,2022-10-01T00:00:00Z,282101,168696,99904,268600,0.952141254,,
4,Chandigarh,2020-06-01T00:00:00Z,26720,14988,10452,25440,0.952095808,,
35,Andaman and Nicobar Islands,2022-03-01T00:00:00Z,4091,1474,2421,3895,0.952089954,,
7,Delhi,2022-07-01T00:00:00Z,419109,287543,111388,398931,0.951855007,,
27,Maharashtra,2022-01-01T00:00:00Z,783108,486298,259005,745303,0.951724411,,
37,Andhra Pradesh,2022-07-01T00:00:00Z,247712,126259,109480,235739,0.951665644,,
34,Puducherry,2022-05-01T00:00:00Z,18024,9318,7834,17152,0.951620062,,
26,Dadra and Nagar Haveli,2021-08-01T00:00:00Z,11128,7408,3180,10588,0.95147376,,
2,Himachal Pradesh,2022-01-01T00:00:00Z,43808,25368,16314,41682,0.951470051,,
23,Madhya Pradesh,2022-01-01T00:00:00Z,187080,97991,80004,177995,0.951437888,,
33,Tamil Nadu,2021-03-01T00:00:00Z,910875,469211,397300,866511,0.951295183,,
33,Tamil Nadu,2022-06-01T00:00:00Z,999035,565315,948683,950274,0.9511919,,
23,Madhya Pradesh,2022-06-01T00:00:00Z,418497,175242,397306,398059,0.95116333,,
8,Rajasthan,2017-12-01T00:00:00Z,433360,333036,79095,412131,0.951013015,,
23,Madhya Pradesh,2021-10-01T00:00:00Z,183147,75244,98926,174170,0.950984728,,
27,Maharashtra,2021-11-01T00:00:00Z,779513,582632,158670,741302,0.950980933,,
7,Delhi,2022-04-01T00:00:00Z,410282,283884,106212,390096,0.950799694,,
32,Kerala,2022-08-01T00:00:00Z,278758,139874,125166,265040,0.950788856,,
26,Dadra and Nagar Haveli,2021-07-01T00:00:00Z,11094,7179,3369,10548,0.950784208,,
33,Tamil Nadu,2021-04-01T00:00:00Z,803124,183847,579698,763545,0.950718694,,
25,Daman and Diu,2017-12-01T00:00:00Z,5254,4240,755,4995,0.950704225,,
27,Maharashtra,2021-10-01T00:00:00Z,767229,408037,321360,729397,0.950690081,,
23,Madhya Pradesh,2021-11-01T00:00:00Z,187303,133523,44541,178064,0.950673508,,
37,Andhra Pradesh,2022-08-01T00:00:00Z,250023,121502,116167,237669,0.950588546,,
34,Puducherry,2022-07-01T00:00:00Z,18235,9509,7824,17333,0.950534686,,
2,Himachal Pradesh,2021-08-01T00:00:00Z,44492,22958,19332,42290,0.950507956,,
32,Kerala,2021-12-01T00:00:00Z,328683,187381,125003,312384,0.950411186,,
23,Madhya Pradesh,2023-01-01T00:00:00Z,208760,120359,78034,198393,0.950340103,,
1,Jammu and Kashmir,2021-10-01T00:00:00Z,60457,23955,33498,57453,0.950311792,,
3,Punjab,2017-09-01T00:00:00Z,247374,208887,26167,235054,0.950196868,,
23,Madhya Pradesh,2021-09-01T00:00:00Z,392348,159797,212962,372759,0.950072385,,
6,Haryana,2022-10-01T00:00:00Z,282622,198664,69841,268505,0.95004989,,
9,Uttar Pradesh,2022-05-01T00:00:00Z,861805,438117,380610,818727,0.950014214,,
97,Other Territory,2017-08-01T00:00:00Z,20,18,1,19,0.95,,
32,Kerala,2021-03-01T00:00:00Z,314391,151488,147181,298669,0.949992207,,
1,Jammu and Kashmir,2022-04-01T00:00:00Z,66338,24748,38271,63019,0.949968344,,
3,Punjab,2022-03-01T00:00:00Z,336608,228647,91111,319758,0.949941772,,
1,Jammu and Kashmir,2021-04-01T00:00:00Z,54507,5487,46285,51772,0.949822959,,
,Rajasthan,2025-02-01T00:00:00Z,348862,246661,84691,331352,0.949808234,,
3,Punjab,2018-03-01T00:00:00Z,264808,218293,33164,251457,0.949582339,,
35,Andaman and Nicobar Islands,2022-05-01T00:00:00Z,3369,1415,1784,3199,0.949539923,,
20,Jharkhand,2023-01-01T00:00:00Z,130198,66138,57476,123614,0.949430867,,
7,Delhi,2021-11-01T00:00:00Z,400740,332280,48155,380435,0.949331237,,
32,Kerala,2018-03-01T00:00:00Z,245761,182504,50793,233297,0.949284061,,
3,Punjab,2021-12-01T00:00:00Z,333129,217555,98660,316215,0.949226876,,
23,Madhya Pradesh,2021-12-01T00:00:00Z,402574,168887,213211,382098,0.949137301,,
34,Puducherry,2022-08-01T00:00:00Z,18317,8915,8470,17385,0.949118305,,
4,Chandigarh,2021-01-01T00:00:00Z,12935,7487,4789,12276,0.949052957,,
32,Kerala,2018-01-01T00:00:00Z,132146,107858,17545,125403,0.948973106,,
,Lakshadweep,2025-01-01T00:00:00Z,235,125,98,223,0.94893617,,
1,Jammu and Kashmir,2021-11-01T00:00:00Z,62407,43685,15527,59212,0.94880382,,
24,Gujarat,2019-12-01T00:00:00Z,877839,661872,170945,832817,0.948712691,,
33,Tamil Nadu,2022-03-01T00:00:00Z,986817,541817,394316,936133,0.948638907,,
,Kerala,2025-02-01T00:00:00Z,303731,190044,98065,288109,0.94856633,,
22,Chhattisgarh,2022-11-01T00:00:00Z,76990,39517,33511,73028,0.948538771,,
,Sikkim,2025-01-01T00:00:00Z,6437,2801,3304,6105,0.948423178,,
23,Madhya Pradesh,2021-04-01T00:00:00Z,185661,16267,159816,176083,0.948411352,,
26,Dadra and Nagar Haveli,2021-11-01T00:00:00Z,11345,9319,1440,10759,0.94834729,,
3,Punjab,2022-06-01T00:00:00Z,342449,237801,324491,324741,0.94829011,,
,Tamil Nadu,2025-03-01T00:00:00Z,1078355,671586,350826,1022412,0.948121908,,
6,Haryana,2021-06-01T00:00:00Z,440788,219466,198452,417918,0.948115647,,
9,Uttar Pradesh,2022-08-01T00:00:00Z,883450,425396,412175,837571,0.948068368,,
4,Chandigarh,2018-03-01T00:00:00Z,25208,19798,4100,23898,0.948032371,,
16,Tripura,2022-12-01T00:00:00Z,26830,12330,13103,25433,0.94793142,,
33,Tamil Nadu,2021-05-01T00:00:00Z,805681,74064,689518,763582,0.947747309,,
9,Uttar Pradesh,2021-11-01T00:00:00Z,807429,623740,141464,765204,0.94770438,,
37,Andhra Pradesh,2022-06-01T00:00:00Z,300587,147753,284476,284867,0.947702329,,
27,Maharashtra,2021-04-01T00:00:00Z,747626,143841,564611,708452,0.947602143,,
,Chandigarh,2025-03-01T00:00:00Z,29023,21711,5790,27501,0.947558833,,
24,Gujarat,2017-11-01T00:00:00Z,228262,204605,11670,216275,0.947485784,,
,Goa,2025-02-01T00:00:00Z,25933,17332,7236,24568,0.947364362,,
,Dadra and Nagar Haveli,2025-03-01T00:00:00Z,15013,12096,2126,14222,0.947312329,,
32,Kerala,2022-03-01T00:00:00Z,335514,180506,137293,317799,0.947200415,,
32,Kerala,2022-02-01T00:00:00Z,270158,163451,92399,255850,0.9470384,,
18,Assam,2022-09-01T00:00:00Z,182601,55272,117654,172926,0.947015624,,
6,Haryana,2021-12-01T00:00:00Z,464263,292029,147592,439621,0.946922326,,
