STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025
21,Odisha,2023-05-01T00:00:00Z,172134,127881,41468,169349,0.983820744303856
22,Chhattisgarh,2023-05-01T00:00:00Z,76671,55646,20050,75696,0.9872833274641
23,Madhya Pradesh,2023-05-01T00:00:00Z,210874,165372,42595,207967,0.986214516725628
24,Gujarat,2023-05-01T00:00:00Z,630476,552312,78010,630322,0.999755740107474
25,Daman and Diu,2023-05-01T00:00:00Z,0,0,,0,
26,Dadra and Nagar Haveli,2023-05-01T00:00:00Z,11660,9469,2135,11604,0.995197255574614
27,Maharashtra,2023-05-01T00:00:00Z,854298,674005,169660,843665,0.987553523477756
29,Karnataka,2023-05-01T00:00:00Z,681828,548665,121290,669955,0.982586517420816
30,Goa,2023-05-01T00:00:00Z,23122,17364,5797,23161,1.00168670530231
31,Lakshadweep,2023-05-01T00:00:00Z,185,131,56,187,1.01081081081081
32,Kerala,2023-05-01T00:00:00Z,279588,220747,56427,277174,0.991365866918466
33,Tamil Nadu,2023-05-01T00:00:00Z,920596,770694,138553,909247,0.987672116759143
34,Puducherry,2023-05-01T00:00:00Z,18615,14675,3650,18325,0.984421165726565
35,Andaman and Nicobar Islands,2023-05-01T00:00:00Z,3541,2331,1140,3471,0.980231573001977
36,Telangana,2023-05-01T00:00:00Z,340996,261613,75488,337101,0.988577578622623
37,Andhra Pradesh,2023-05-01T00:00:00Z,257610,203383,49676,253059,0.982333760335391
38,Ladakh,2023-05-01T00:00:00Z,2377,1693,810,2503,1.05300799326883
97,Other Territory,2023-05-01T00:00:00Z,81,61,7,68,0.839506172839506
1,Jammu and Kashmir,2023-06-01T00:00:00Z,120466,96353,23733,120086,0.996845582986071
2,Himachal Pradesh,2023-06-01T00:00:00Z,102242,84466,17798,102264,1.00021517575947
3,Punjab,2023-06-01T00:00:00Z,344875,289002,54037,343039,0.994676332004349
4,Chandigarh,2023-06-01T00:00:00Z,27790,23287,4522,27809,1.00068369917236
5,Uttarakhand,2023-06-01T00:00:00Z,157146,123401,31897,155298,0.988240235195296
6,Haryana,2023-06-01T00:00:00Z,490131,404254,81075,485329,0.990202619299738
7,Delhi,2023-06-01T00:00:00Z,754668,623970,124593,748563,0.991910349981714
8,Rajasthan,2023-06-01T00:00:00Z,695415,570661,118853,689514,0.99151441944738
9,Uttar Pradesh,2023-06-01T00:00:00Z,1440086,1175058,250808,1425866,0.990125589721725
