state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
10,BIHAR,2020,8,5475,386589,7538.36577,5353,54957,2330.59169,47818,494111,13430.48106
11,SIKKIM,2020,8,98,1764,28.00410012,129,2844,1133.309975,1279,18993,581.5502054
12,ARUNACHAL PRADESH,2020,8,108,1655,31.43818941,149,1100,78.41544682,2469,22877,457.7060462
13,NAGALAND,2020,8,84,727,36.31592171,212,1626,60.51687637,2119,20493,417.6595108
14,MANIPUR,2020,8,45,2096,39.72400053,61,233,13.65075372,2057,31110,479.7228441
15,MIZORAM,2020,8,22,369,11.98653505,48,258,75.66466988,1565,22521,327.1417746
16,TRIPURA,2020,8,970,23974,398.0068164,366,2162,322.5356854,3694,33386,784.270774
17,MEGHALAYA,2020,8,282,11540,191.9060455,363,22296,448.8126497,2870,33711,645.155676
18,ASSAM,2020,8,9911,355578,6816.3533,8301,159691,5721.177362,20810,210008,7810.589414
19,WEST BENGAL,2020,8,34177,1305109,32697.38943,32794,542646,23943.53913,51507,779272,29109.52743
20,JHARKHAND,2020,8,7829,342075,7249.863413,6742,168408,9082.733329,22396,268872,8827.766973
21,ODISHA,2020,8,12067,604562,11939.92775,4912,184851,16559.43409,27052,289164,11473.79829
22,CHHATTISGARH,2020,8,4800,160639,4441.626827,6739,136223,9689.497131,20484,305392,12283.91839
23,MADHYA PRADESH,2020,8,14146,355368,7189.302922,17469,314687,15993.38548,60216,666413,20625.50346
24,GUJARAT,2020,8,111345,2704487,69251.58056,111059,2671834,79307.54256,105578,1182103,55187.02155
25,DAMAN AND DIU,2020,8,41,155,6.393072205,227,1042,27.34500206,480,1703,55.44419727
26,DADRA AND NAGAR HAVELI,2020,8,2377,93508,2859.782425,3318,303927,10476.30479,4353,130856,7372.047398
27,MAHARASHTRA,2020,8,102546,4186315,93741.54149,88618,2753847,92018.83855,154375,1846187,81789.44801
29,KARNATAKA,2020,8,79907,3074618,50146.44287,40879,1130772,40654.62152,92449,1362008,45803.34517
30,GOA,2020,8,1320,49613,798.3534487,1357,47909,3295.390269,5394,78309,2826.07729
31,LAKSHADWEEP,2020,8,0,0,0,2,3,0.053555947,29,202,2.269348189
